"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"56","DOMESTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Mar",0,0,0,0,0,0,0,0,0,83,-367,-284,"31 Mar",0,0,0,0,0,0,0,0,0,83,-367,-284,"31 Mar",1410,0,1410,525,0,0,525,20,865,554,-969,450,"31 Mar",1410,0,1410,525,0,0,525,20,865,554,-969,450,"31 Mar",1583,0,1583,1507,0,0,1507,304,-228,372,-636,-492
"57","EIG ANSVAR","31 Dec",106933,36636,70297,63072,5868,11748,45456,12512,12329,6256,-5417,13168,"31 Dec",105097,34895,70202,60932,6814,11937,42181,13181,14840,7085,-8080,13845,"31 Dec",105097,34895,70202,60932,6814,11937,42181,13181,14840,7085,-8080,13845,"31 Dec",110243,37590,72653,65162,6381,19599,39182,16748,16723,7422,-11106,13039,"31 Dec",110243,37590,72653,65162,6381,19599,39182,16748,16723,7422,-11106,13039,"31 Dec",116496,50145,66351,97148,8085,42569,46494,15195,4662,7730,-8097,4295,"31 Dec",116496,50145,66351,97148,8085,42569,46494,15195,4662,7730,-8097,4295,"31 Dec",125286,55712,69574,107979,8459,48395,51125,19017,-568,16182,-10099,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ELDERS","30 Jun",291600,142134,149466,188701,20505,69619,98577,2249,48640,7438,-40410,15668,"30 Jun",291600,142134,149466,188701,20505,69619,98577,2249,48640,7438,-40410,15668,"30 Jun",309281,143215,166066,250766,22731,113724,114311,11040,40715,9335,-39649,10401,"30 Jun",309281,143215,166066,250766,22731,113724,114311,11040,40715,9335,-39649,10401,"30 Jun",322657,136874,185783,240836,23030,101511,116295,41274,28214,10733,-25055,13892,"30 Jun",322657,136874,185783,240836,23030,101511,116295,41274,28214,10733,-25055,13892,"30 Jun",365459,164112,201347,273120,29836,108845,134439,44385,22523,11886,-25352,9057,"30 Sep",365459,164112,201347,273120,29836,108845,134439,44385,22523,11886,-25352,9057,"30 Jun",456745,200930,255815,341609,23068,155250,163291,63291,29233,10897,-30023,10107,"31 Dec",472957,206870,266087,300446,15549,120894,164003,72234,29850,7157,-27760,9247,"31 Dec",472957,206870,266087,300446,15549,120894,164003,72234,29850,7157,-27760,9247
"59","EMPLOY MUT","30 Jun",3614,2105,1509,4036,43,-147,4140,0,-2631,6265,4440,8074,"30 Jun",3614,2105,1509,4036,43,-147,4140,0,-2631,6265,4440,8074,"30 Jun",2504,1047,1457,5333,188,1079,4066,312,-2921,7682,2718,7479,"30 Jun",2504,1047,1457,5333,188,1079,4066,312,-2921,7682,2718,7479,"30 Jun",2197,759,1438,3452,286,579,2587,586,-1735,7917,14029,20211,"30 Jun",2197,759,1438,3452,286,579,2587,586,-1735,7917,14029,20211,"30 Jun",-3,90,-93,2064,359,-49,1754,2,-1849,-6318,5075,-3092,"30 Jun",-3,90,-93,2064,359,-49,1754,2,-1849,-6318,5075,-3092,"30 Jun",-44,-10,-34,1591,427,53,1110,3,-1147,-2982,8141,4013,"30 Jun",-44,-10,-34,1591,427,53,1110,3,-1147,-2982,8141,4013,"30 Jun",1418,-14,1432,405,268,35,101,0,1330,5553,-1748,5135
"60","EMPLOY RE","31 Dec",228727,22714,206013,173050,0,24804,148246,54151,3616,69241,-28070,44787,"31 Dec",71368,21030,50338,75781,0,2765,73016,5536,-28214,76809,-27529,21066,"31 Dec",71368,21030,50338,75781,0,2765,73016,5536,-28214,76809,-27529,21066,"31 Dec",50437,11309,39128,-31200,0,-8717,-22483,7128,54483,51533,-47919,58097,"31 Dec",50437,11309,39128,-31200,0,-8717,-22483,7128,54483,51533,-47919,58097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","FARM MIL","31 Mar",35289,7499,27790,11945,702,426,10817,8096,8877,1645,-5259,5263,"31 Mar",35289,7499,27790,11945,702,426,10817,8096,8877,1645,-5259,5263,"31 Mar",51418,23445,27973,35107,1402,16495,17210,9124,1639,2208,-3458,389,"31 Mar",51418,23445,27973,35107,1402,16495,17210,9124,1639,2208,-3458,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","FIRST AM","31 Dec",3808,67,3741,2438,0,1899,539,133,3069,378,-4089,-642,"31 Dec",4364,78,4286,2948,0,2306,642,187,3457,443,-3624,276,"31 Dec",4364,78,4286,2948,0,2306,642,187,3457,443,-3624,276,"31 Dec",5182,111,5071,2596,0,1955,641,184,4246,493,-3709,1030,"31 Dec",5182,111,5071,2596,0,1955,641,184,4246,493,-3709,1030,"31 Dec",6052,163,5889,2950,1133,1376,441,114,5334,544,-3722,2156,"31 Dec",6052,163,5889,2950,1133,1376,441,114,5334,544,-3722,2156,"31 Dec",3225,213,3012,2454,0,1930,524,24,2464,761,-3949,-724,"31 Dec",3225,213,3012,2454,0,1930,524,24,2464,761,-3949,-724,"31 Dec",2415,156,2259,2142,0,1775,367,34,1858,439,-2503,-206,"31 Dec",2415,156,2259,2142,0,1775,367,34,1858,439,-2503,-206
"63","FM INS","31 Dec",153901,85790,68111,48600,0,27065,21535,5111,41465,5695,-22427,24733,"31 Dec",164362,88928,75434,82309,0,51807,30502,12378,32554,5276,-15668,22162,"31 Dec",164362,88928,75434,82309,0,51807,30502,12378,32554,5276,-15668,22162,"31 Dec",184142,105194,78948,102820,0,87676,15144,17138,46666,10672,-27056,30282,"31 Dec",184142,105194,78948,102820,0,87676,15144,17138,46666,10672,-27056,30282,"31 Dec",164090,94747,69343,146592,0,133217,13375,15620,40348,9713,-29592,20469,"31 Dec",164090,94747,69343,146592,0,133217,13375,15620,40348,9713,-29592,20469,"31 Dec",187660,115315,72345,74227,0,25546,48681,20049,3615,19577,-29629,-6437,"31 Dec",187660,115315,72345,74227,0,25546,48681,20049,3615,19577,-29629,-6437,"31 Dec",224120,137226,86894,17856,0,5299,12557,20111,54226,1615,-28191,27650,"31 Dec",224120,137226,86894,17856,0,5299,12557,20111,54226,1615,-28191,27650
"64","FORTRON","30 Jun",26470,495,25975,12297,1443,54,10800,13923,1252,1245,-2270,227,"30 Jun",26470,495,25975,12297,1443,54,10800,13923,1252,1245,-2270,227,"30 Jun",21560,514,21046,7883,1881,-45,6047,11363,3636,451,-3420,667,"30 Jun",21560,514,21046,7883,1881,-45,6047,11363,3636,451,-3420,667,"30 Jun",19986,344,19642,7707,1179,-6,6534,10894,2214,1674,-2556,1332,"30 Jun",19986,344,19642,7707,1179,-6,6534,10894,2214,1674,-2556,1332,"30 Jun",20372,319,20053,6272,892,-2,5382,10619,4052,543,-3171,1424,"30 Jun",20372,319,20053,6272,892,-2,5382,10619,4052,543,-3171,1424,"30 Jun",11881,261,11620,7154,480,-5,6679,6204,-1263,495,-8248,-9016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","GE MORT","31 Dec",209570,4679,204891,36360,0,2276,34084,11259,159548,37976,-49318,148206,"31 Dec",354969,21562,333407,149097,1389,-1031,148739,22403,162265,66621,-74615,154271,"31 Dec",354969,21562,333407,149097,1389,-1031,148739,22403,162265,66621,-74615,154271,"31 Dec",490196,48513,441683,254487,15374,-921,240034,33323,168326,76880,-83735,161471,"31 Dec",490196,48513,441683,254487,15374,-921,240034,33323,168326,76880,-83735,161471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","GEN LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,5733,-5733,-45606,642,-207,-46041,975,39333,3140,-4544,37929,"31 Dec",0,5733,-5733,-45606,642,-207,-46041,975,39333,3140,-4544,37929,"31 Dec",0,-776,776,-9337,-372,0,-8965,854,8887,5524,-9284,5127,"31 Dec",0,-776,776,-9337,-372,0,-8965,854,8887,5524,-9284,5127,"31 Dec",0,0,0,-208,45,0,-253,0,253,9719,-2378,7594,"31 Dec",0,0,0,-208,45,0,-253,0,253,9719,-2378,7594,"31 Dec",0,0,0,-1140,2,0,-1142,0,1142,1927,169,3238,"31 Dec",0,0,0,-1140,2,0,-1142,0,1142,1927,169,3238
"67","GEN MORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",547910,53217,494693,264371,28887,-959,236443,50871,207379,132490,-146097,193772,"31 Dec",547910,53217,494693,264371,28887,-959,236443,50871,207379,132490,-146097,193772,"31 Dec",458629,65057,393572,305636,-16022,130,321528,47009,25035,265484,-117708,172811,"31 Dec",458629,65057,393572,305636,-16022,130,321528,47009,25035,265484,-117708,172811,"31 Dec",561954,72260,489694,291688,22051,962,268675,70565,150454,109415,-107548,152321,"31 Dec",561954,72260,489694,291688,22051,962,268675,70565,150454,109415,-107548,152321
"68","GEN RE","31 Dec",159618,90838,68780,77585,0,25570,52015,54307,-37542,26295,3416,-7831,"31 Dec",139154,77553,61601,38825,0,48280,-9455,78701,-7645,43606,-13928,22033,"31 Dec",139154,77553,61601,38825,0,48280,-9455,78701,-7645,43606,-13928,22033,"31 Dec",96738,45506,51232,5454,0,-13126,18580,28220,4432,15199,-8123,11508,"31 Dec",96738,45506,51232,5454,0,-13126,18580,28220,4432,15199,-8123,11508,"31 Dec",65586,31695,33891,16124,0,-19083,35207,27392,-28708,16618,-876,-12966,"31 Dec",65586,31695,33891,16124,0,-19083,35207,27392,-28708,16618,-876,-12966,"31 Dec",89321,8710,80611,46856,0,-342,47198,34751,-1338,131072,-38684,91050,"31 Dec",89321,8710,80611,46856,0,-342,47198,34751,-1338,131072,-38684,91050,"31 Dec",94626,16583,78043,-77243,0,-2127,-75116,12907,140252,7375,-28844,118783,"31 Dec",94626,16583,78043,-77243,0,-2127,-75116,12907,140252,7375,-28844,118783
"69","GERLING","31 Dec",19847,14768,5079,85673,0,69545,16128,3170,-14219,7558,-3239,-9900,"31 Dec",3553,3709,-156,-18282,0,-12311,-5971,188,5627,5303,-34,10896,"31 Dec",3553,3709,-156,-18282,0,-12311,-5971,188,5627,5303,-34,10896,"31 Dec",7230,8831,-1601,-2532,0,2834,-5366,-567,4332,2772,-3351,3753,"31 Dec",7230,8831,-1601,-2532,0,2834,-5366,-567,4332,2772,-3351,3753,"31 Dec",5470,5883,-413,30549,0,29849,700,15,-1128,2633,-1501,4,"31 Dec",5470,5883,-413,30549,0,29849,700,15,-1128,2633,-1501,4,"31 Dec",6740,26972,-20232,9043,0,27034,-17991,898,-3139,6787,-2653,995,"31 Dec",6740,26972,-20232,9043,0,27034,-17991,898,-3139,6787,-2653,995,"31 Dec",6219,5462,757,-5718,0,-5579,-139,1160,-264,1583,-1348,-29,"31 Dec",6219,5462,757,-5718,0,-5579,-139,1160,-264,1583,-1348,-29
"70","GIO GEN","30 Jun",1390963,47466,1343497,1201844,159519,25527,1016798,288468,38231,228826,-57411,209646,"30 Jun",1390963,47466,1343497,1201844,159519,25527,1016798,288468,38231,228826,-57411,209646,"30 Jun",1454308,68231,1386077,1017880,142102,9008,866770,302931,216376,203378,-120807,298947,"30 Jun",1454308,68231,1386077,1017880,142102,9008,866770,302931,216376,203378,-120807,298947,"30 Jun",1522303,69226,1453077,1013478,190122,49182,774174,437887,241016,190894,-118428,313482,"30 Jun",1522303,69226,1453077,1013478,190122,49182,774174,437887,241016,190894,-118428,313482,"30 Jun",1541968,87728,1454240,1239676,136976,33461,1069239,426822,-41821,36717,29137,24033,"30 Jun",1541968,87728,1454240,1239676,136976,33461,1069239,426822,-41821,36717,29137,24033,"30 Jun",1460588,123137,1337451,1284840,127744,110472,1046624,416682,-125855,221333,-18064,77414,"30 Jun",1460588,123137,1337451,1284840,127744,110472,1046624,416682,-125855,221333,-18064,77414,"30 Jun",1628808,180432,1448376,1219616,173698,158551,887367,425854,135155,187650,-102342,220463
"71","GORDIAN","31 Dec",717,-3879,4596,-13288,354,-19229,5587,527,-1518,77746,-12496,63732,"31 Dec",3509,-1679,5188,43398,-1550,2109,42839,1669,-39320,102595,-13334,49941,"31 Dec",3509,-1679,5188,43398,-1550,2109,42839,1669,-39320,102595,-13334,49941,"31 Dec",-1160,323,-1483,-71282,-3397,509,-68394,-325,67236,41930,-34693,74473,"31 Dec",-1160,323,-1483,-71282,-3397,509,-68394,-325,67236,41930,-34693,74473,"31 Dec",4693,280,4413,-118904,-536,-5965,-112403,523,116293,44129,-53943,106479,"31 Dec",4693,280,4413,-118904,-536,-5965,-112403,523,116293,44129,-53943,106479,"31 Dec",457,1617,-1160,-10473,12407,-3064,-19816,35,18621,165233,-59619,124235,"31 Dec",457,1617,-1160,-10473,12407,-3064,-19816,35,18621,165233,-59619,124235,"31 Dec",-1398,-20,-1378,-101079,3083,4114,-108276,153,106745,-57297,-17178,32270,"31 Dec",-1398,-20,-1378,-101079,3083,4114,-108276,153,106745,-57297,-17178,32270
"72","GRT LAKES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",33454,30262,3192,29441,0,26694,2747,-3974,4419,937,-4680,676,"31 Dec",33454,30262,3192,29441,0,26694,2747,-3974,4419,937,-4680,676,"31 Dec",180286,128426,51860,97383,0,75247,22136,21929,7795,679,-7918,556,"31 Dec",180286,128426,51860,97383,0,75247,22136,21929,7795,679,-7918,556
"73","GUILD INS","30 Jun",133596,35688,97908,70151,0,13929,56222,7876,33810,12984,-26996,19798,"30 Jun",133596,35688,97908,70151,0,13929,56222,7876,33810,12984,-26996,19798,"30 Jun",121805,36089,85716,60998,0,15095,45903,9433,30380,16558,-29490,17448,"30 Jun",121805,36089,85716,60998,0,15095,45903,9433,30380,16558,-29490,17448,"30 Jun",131094,18281,112813,58364,0,1114,57250,17502,38061,17477,-33802,21736,"30 Jun",131094,18281,112813,58364,0,1114,57250,17502,38061,17477,-33802,21736,"30 Jun",132072,18118,113954,57681,0,6799,50882,19409,43663,-2333,-34592,6738,"30 Jun",132072,18118,113954,57681,0,6799,50882,19409,43663,-2333,-34592,6738,"30 Jun",142279,22132,120147,70141,0,8305,61836,26491,31820,5356,-30738,6438,"30 Jun",142279,22132,120147,70141,0,8305,61836,26491,31820,5356,-30738,6438,"30 Jun",166471,24131,142340,88579,3750,5368,79461,28366,34513,17739,-36921,15331
"74","HALLMARK","31 Dec",35745,502,35243,10289,3366,1152,5771,6239,23233,7380,-9404,21209,"31 Dec",45310,1511,43799,7840,-2913,1005,9748,6473,27578,8576,-15072,21082,"31 Dec",45310,1511,43799,7840,-2913,1005,9748,6473,27578,8576,-15072,21082,"31 Dec",56216,101,56115,15247,2831,-824,13240,6833,36042,10849,-20172,26719,"31 Dec",56216,101,56115,15247,2831,-824,13240,6833,36042,10849,-20172,26719,"31 Dec",25987,98,25889,-8566,-3059,72,-5579,-518,31986,12020,-22277,21729,"31 Dec",25987,98,25889,-8566,-3059,72,-5579,-518,31986,12020,-22277,21729,"31 Dec",47012,66,46946,7151,-795,0,7946,4853,34147,2118,-17109,19156,"31 Dec",47012,66,46946,7151,-795,0,7946,4853,34147,2118,-17109,19156,"31 Dec",49697,63,49634,18848,2273,0,16575,6528,26531,12060,-19848,18743,"31 Dec",49697,63,49634,18848,2273,0,16575,6528,26531,12060,-19848,18743
"75","HANNOVER","31 Dec",128658,17781,110877,112633,0,4062,108571,16890,-14584,44497,-12328,17585,"31 Dec",158768,24101,134667,92462,0,2820,89642,24168,20857,39132,-21864,38125,"31 Dec",158768,24101,134667,92462,0,2820,89642,24168,20857,39132,-21864,38125,"31 Dec",127408,30093,97315,85274,0,3041,82233,22956,-7874,20493,-7174,5445,"31 Dec",127408,30093,97315,85274,0,3041,82233,22956,-7874,20493,-7174,5445,"31 Dec",148809,26137,122672,108218,0,2272,105946,22347,-5621,22398,-8953,7824,"31 Dec",148809,26137,122672,108218,0,2272,105946,22347,-5621,22398,-8953,7824,"31 Dec",159532,13716,145816,135209,0,-1181,136390,31150,-21724,75751,-19664,34363,"31 Dec",159532,13716,145816,135209,0,-1181,136390,31150,-21724,75751,-19664,34363,"31 Dec",173188,36590,136598,97706,0,2740,94966,25079,16553,14352,-14375,16530,"31 Dec",173188,36590,136598,97706,0,2740,94966,25079,16553,14352,-14375,16530
"76","HBF INS","30 Jun",65026,10550,54476,42808,6077,6030,30701,4206,19569,3884,-18136,5317,"30 Jun",65026,10550,54476,42808,6077,6030,30701,4206,19569,3884,-18136,5317,"30 Jun",87702,13667,74035,55727,9607,6181,39939,3638,30458,5203,-20505,15156,"30 Jun",87702,13667,74035,55727,9607,6181,39939,3638,30458,5203,-20505,15156,"30 Jun",76296,10175,66121,51564,8991,5440,37133,3831,25157,5431,-20281,10307,"30 Jun",76296,10175,66121,51564,8991,5440,37133,3831,25157,5431,-20281,10307,"30 Jun",85833,13173,72660,61043,9245,6369,45429,4512,22719,-2337,-18955,1427,"30 Jun",85833,13173,72660,61043,9245,6369,45429,4512,22719,-2337,-18955,1427,"30 Jun",95182,15463,79719,70677,10410,9772,50495,3982,25242,-13326,-17601,-5685,"30 Jun",95182,15463,79719,70677,10410,9772,50495,3982,25242,-13326,-17601,-5685,"30 Jun",103669,20958,82711,146786,14957,85742,46087,4841,31783,7125,-26208,12700
"77","HDIGERLING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",1011,992,19,866,0,825,41,165,-187,133,-119,-173,"31 Dec",1011,992,19,866,0,825,41,165,-187,133,-119,-173
"78","HOLLARD","30 Jun",71085,17489,53596,32613,1626,10540,20447,28950,4199,2319,-3614,2904,"30 Jun",71085,17489,53596,32613,1626,10540,20447,28950,4199,2319,-3614,2904,"30 Jun",79065,29854,49211,45242,821,17023,27398,29671,-7858,7176,-9006,-9688,"30 Jun",79065,29854,49211,45242,821,17023,27398,29671,-7858,7176,-9006,-9688,"30 Jun",89128,33090,56038,43260,1228,21727,20305,36265,-532,6993,-13241,-6780,"30 Jun",89128,33090,56038,43260,1228,21727,20305,36265,-532,6993,-13241,-6780,"30 Jun",109407,43688,65719,67066,4689,32143,30233,35285,200,9189,-15151,-5761,"30 Jun",109407,43688,65719,67066,4689,32143,30233,35285,200,9189,-15151,-5761,"30 Jun",135606,37896,97710,104947,14157,19944,70845,19035,7830,2485,-5638,4678,"30 Jun",135606,37896,97710,104947,14157,19944,70845,19035,7830,2485,-5638,4678,"30 Jun",172784,45300,127484,126620,16273,20339,90008,29406,8070,3384,-7243,4210
"79","HOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",6415,2237,4178,4990,242,1053,3695,-181,664,354,-558,460,"30 Jun",6415,2237,4178,4990,242,1053,3695,-181,664,354,-558,460,"30 Jun",16798,5437,11361,12287,277,2864,9145,299,1916,1278,-1599,1594,"30 Jun",16798,5437,11361,12287,277,2864,9145,299,1916,1278,-1599,1594,"30 Jun",19722,6181,13542,15020,394,3934,10691,1047,1803,1715,-1957,1561
"80","HPIA","30 Jun",48183,7910,40273,26582,0,4339,22243,3616,14414,4561,-12258,6717,"30 Jun",48183,7910,40273,26582,0,4339,22243,3616,14414,4561,-12258,6717,"30 Jun",57930,5100,52830,11538,0,60,11478,4299,37053,6588,-19960,23681,"30 Jun",57930,5100,52830,11538,0,60,11478,4299,37053,6588,-19960,23681,"30 Jun",36502,5000,31502,15622,0,-720,16342,2699,12461,9408,-11796,10073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","HSB","31 Dec",13107,7195,5912,12712,0,4477,8235,-42,-2281,741,-2538,-4078,"31 Dec",21805,6014,15791,9288,0,-1088,10376,109,5306,1183,-4455,2034,"31 Dec",21805,6014,15791,9288,0,-1088,10376,109,5306,1183,-4455,2034,"31 Dec",14844,2277,12567,9161,0,-23,9184,5928,-2545,1084,-5820,-7281,"31 Dec",14844,2277,12567,9161,0,-23,9184,5928,-2545,1084,-5820,-7281,"31 Dec",12602,-798,13400,6493,0,452,6041,2265,5094,1217,-5861,450,"31 Dec",12602,-798,13400,6493,0,452,6041,2265,5094,1217,-5861,450,"31 Dec",5919,2841,3078,4750,0,4257,493,-327,2912,2577,-6282,-793,"31 Dec",5919,2841,3078,4750,0,4257,493,-327,2912,2577,-6282,-793,"31 Dec",8013,5085,2928,2853,0,2756,97,1070,1761,873,-915,1719,"31 Dec",8013,5085,2928,2853,0,2756,97,1070,1761,873,-915,1719
"82","IAG RE","30 Jun",0,0,0,0,0,0,0,0,0,329,-99,230,"30 Jun",0,0,0,0,0,0,0,0,0,329,-99,230,"30 Jun",0,0,0,0,0,0,0,0,0,482,-144,338,"30 Jun",0,0,0,0,0,0,0,0,0,482,-144,338,"30 Jun",0,0,0,0,0,0,0,0,0,416,-125,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","IAG RE AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",275350,129931,145419,535445,8575,461875,64995,1181,79243,13663,-28416,64490,"30 Jun",275350,129931,145419,535445,8575,461875,64995,1181,79243,13663,-28416,64490,"30 Jun",438130,371028,67102,-148093,-5242,-174522,31671,26594,8837,44383,-17384,35836,"30 Jun",438130,371028,67102,-148093,-5242,-174522,31671,26594,8837,44383,-17384,35836,"30 Jun",444231,297983,146249,406071,-1250,254932,152389,28195,-34335,73669,-12754,26580,"30 Jun",444231,297983,146249,406071,-1250,254932,152389,28195,-34335,73669,-12754,26580,"30 Jun",457763,317600,140163,371196,-287,318463,53020,28059,59084,47203,-33062,73226
